sgd_id	yeast_rnaseq_1	yeast_rnaseq_2	yeast_rnaseq_3	yeast_stripeseq_unpooled_1	yeast_stripeseq_unpooled_2	yeast_stripeseq_unpooled_3	yeast_stripeseq_pooled_1	yeast_stripeseq_pooled_2	yeast_stripeseq_pooled_3
YDR187C	0	1	0	0	0	0	1	1	0
YDR188W	3509	3070	2926	44	49	49	64	69	88
YDR189W	1656	1485	1613	98	107	102	72	69	103
YDR190C	2254	2062	2126	132	171	176	174	133	190
YDR191W	145	112	110	0	2	1	5	2	1
YDR192C	305	239	247	14	12	26	11	8	12
YDR193W	0	0	1	0	0	0	0	0	0
YDR194C	1310	1008	1035	97	106	126	163	117	137
YDR194W-A	0	0	0	0	0	0	2	0	0
YDR195W	619	525	582	20	22	20	18	13	15
YDR196C	733	622	652	43	50	47	77	49	62
YDR197W	607	515	491	29	25	22	24	24	28
YDR198C	368	394	373	13	15	19	16	9	17
YDR199W	0	2	0	0	0	0	0	0	0
YDR200C	602	551	564	71	38	67	74	44	86
YDR201W	186	163	177	54	64	69	72	53	66
YDR202C	730	585	682	24	27	23	30	23	33
YDR203W	2	4	2	0	0	0	1	3	0
YDR204W	744	596	671	57	55	73	67	53	71
YDR205W	481	477	463	36	31	50	31	22	31
YDR206W	1249	1172	1121	23	19	23	30	25	28
YDR207C	629	615	607	45	53	41	39	28	40
YDR208W	1062	914	943	95	101	95	84	94	109
YDR209C	1	0	1	0	0	0	0	0	0
YDR210W	597	512	491	16	16	15	39	25	31
YDR210W-B	26	16	24	8	6	5	3	4	6
YDR210W-A	0	0	0	0	0	0	0	0	0
YDR210C-D	39	34	34	1	0	1	3	0	2
YDR210C-C	0	0	0	0	0	0	0	0	0
tI(UAU)D	0	0	1	0	0	0	0	0	1
YDR211W	1601	1523	1517	33	42	37	37	35	39
YDR212W	2888	2547	2312	40	44	43	82	60	87
